Liniennummer;Referenzhaltestelle Name;Referenzhaltestelle Nummer;Referenzhaltestelle Globale ID;Referenzhaltestelle Gemeinde;Referenzhaltestelle Gemeinde AGS;Referenzhaltestelle X-Koord.;Referenzhaltestelle Y-Koord.
345;Gütz, Otto-Quandt-Str.;9893;de:15088:9893;Landsberg;15088195;12,147608;51,532865
345;Halle (Saale), Am Steintor;5237;de:15002:5237;Halle (Saale);15002000;11,978086;51,488196
345;Halle (Saale), Apoldaer Str./Birkhahnweg;3956;de:15002:3956;Halle (Saale);15002000;12,007479;51,494746
345;Halle (Saale), Berliner Brücke;5051;de:15002:5051;Halle (Saale);15002000;11,994703;51,488599
345;Halle (Saale), Hauptbahnhof/ZOB;5438;de:15002:5438;Halle (Saale);15002000;11,984570;51,477440
345;Halle (Saale), Rosenfelder Str.;84202;de:15002:84202;Halle (Saale);15002000;12,031950;51,501020
345;Halle (Saale), S-Bahnhof Steintorbrücke;5236;de:15002:5236;Halle (Saale);15002000;11,986516;51,489815
345;Hohenthurm, Alte Bahnhofstr.;9959;de:15088:9959;Landsberg;15088195;12,097976;51,520817
345;Hohenthurm, Berliner Str.;30706;de:15088:30706;Landsberg;15088195;12,097673;51,522938
345;Hohenthurm, Briefzentrum;17157;de:15088:17157;Landsberg;15088195;12,101719;51,525205
345;Landsberg (b. Halle), An der Mühle;10057;de:15088:10057;Landsberg;15088195;12,151924;51,528783
345;Landsberg (b. Halle), Bahnhofstr.;30643;de:15088:30643;Landsberg;15088195;12,160931;51,528127
345;Landsberg (b. Halle), Grundschule;22587;de:15088:22587;Landsberg;15088195;12,163825;51,526826
345;Landsberg (b. Halle), Mäc Geiz;30645;de:15088:30645;Landsberg;15088195;12,159714;51,538644
345;Landsberg (b. Halle), Markt;10051;de:15088:10051;Landsberg;15088195;12,159550;51,525045
345;Landsberg (b. Halle), Plattenhardt + Wirth;30646;de:15088:30646;Landsberg;15088195;12,162150;51,535719
345;Landsberg (b. Halle), S-Bahnhof (Bus);5764;de:15088:5764;Landsberg;15088195;12,166266;51,532299
345;Landsberg (b. Halle), Schule;10055;de:15088:10055;Landsberg;15088195;12,169226;51,525736
345;Landsberg (b. Halle), Thomas-Müntzer-Str.;30603;de:15088:30603;Landsberg;15088195;12,155292;51,525168
345;Peißen (Saalekreis), Halle-Center;13509;de:15088:13509;Landsberg;15088195;12,054231;51,511716
345;Zöberitz, Bahnhof (Bus);17179;de:15088:17179;Landsberg;15088195;12,032623;51,503988
350;Brachstedt, Alter Dorfplatz;9671;de:15088:9671;Petersberg;15088295;12,051625;51,570315
350;Brachstedt Am Sportplatz;9672;de:15088:9672;Petersberg;15088295;12,048136;51,569057
350;Halle (Saale), Am Steintor;5237;de:15002:5237;Halle (Saale);15002000;11,978086;51,488196
350;Halle (Saale), Frohe Zukunft;5177;de:15002:5177;Halle (Saale);15002000;11,994612;51,508948
350;Halle (Saale), Hauptbahnhof/ZOB;5438;de:15002:5438;Halle (Saale);15002000;11,984570;51,477440
350;Halle (Saale), Tornau, Kirschallee;3951;de:15002:3951;Halle (Saale);15002000;12,004235;51,529264
350;Oppin, Gutenberger Str.;10175;de:15088:10175;Landsberg;15088195;12,026917;51,552183
350;Rieda (Schrenz), Thomas-Müntzer-Str.;22698;de:15082:22698;Zörbig;15082440;12,066181;51,597915
350;Schrenz, Neue Siedlung;20258;de:15082:20258;Zörbig;15082440;12,073654;51,588648
350;Siegelsdorf (Zörbig);4566;de:15082:4566;Zörbig;15082440;12,071603;51,592477
350;Spören, Hirtenweg;6664;de:15082:6664;Zörbig;15082440;12,126870;51,601033
350;Spören, Kastanienallee;4568;de:15082:4568;Zörbig;15082440;12,122509;51,601230
350;Zörbig, Bahnübergang;31211;de:15082:31211;Zörbig;15082440;12,114082;51,631464
350;Zörbig, Florian-Geyer-Str.;39311;de:15082:39311;Zörbig;15082440;12,123227;51,625756
350;Zörbig, Markt;4512;de:15082:4512;Zörbig;15082440;12,118125;51,628041
350;Zörbig, Oskar-Fleischer-Str.;31176;de:15082:31176;Zörbig;15082440;12,120940;51,633030
350;Zörbig, Reinhold-Schmidt-Str.;31177;de:15082:31177;Zörbig;15082440;12,115220;51,632960
350;Zörbig, Schützenplatz;39310;de:15082:39310;Zörbig;15082440;12,122494;51,629606
350;Zörbig, Stadtbad;39312;de:15082:39312;Zörbig;15082440;12,121341;51,622695
350;Zörbig, Turm;4514;de:15082:4514;Zörbig;15082440;12,113566;51,628126
350;Zörbig, Wilhelmstr.;31178;de:15082:31178;Zörbig;15082440;12,122190;51,631110
358;Dieskau, Abzweig Zwintschöna;4985;de:15088:4985;Kabelsketal;15088150;12,043503;51,442234
358;Dieskau, Neue Siedlung;30105;de:15088:30105;Kabelsketal;15088150;12,040865;51,430893
358;Dieskau, Ringstr.;22582;de:15088:22582;Kabelsketal;15088150;12,038887;51,436204
358;Döllnitz, An der Gartenanlage;5102;de:15088:5102;Schkopau;15088330;12,033011;51,405939
358;Döllnitz (b. Halle), Berliner Str.;3936;de:15088:3936;Schkopau;15088330;12,027582;51,407528
358;Döllnitz (b. Halle), Mafa;9723;de:15088:9723;Schkopau;15088330;12,034278;51,415725
358;Döllnitz (b. Halle), Mühlenstr.;5097;de:15088:5097;Schkopau;15088330;12,024304;51,411443
358;Halle (Saale), Dieselstr.;5000;de:15002:5000;Halle (Saale);15002000;12,009283;51,459167
358;Halle (Saale), Einkaufspark HEP;5078;de:15002:5078;Halle (Saale);15002000;12,015687;51,454354
358;Halle (Saale), Goldregenweg;5130;de:15002:5130;Halle (Saale);15002000;12,004920;51,462426
358;Halle (Saale), Hauptbahnhof/ZOB;5438;de:15002:5438;Halle (Saale);15002000;11,984570;51,477440
358;Halle (Saale), Hauptbahnhof/ZOB (E.-Kamieth-Str.);8070814;de:15002:8070814;Halle (Saale);15002000;11,985603;51,476891
358;Halle (Saale), MesseHandelsCentrum;5261;de:15002:5261;Halle (Saale);15002000;12,023189;51,449207
358;Halle (Saale), Raffineriestr.;5259;de:15002:5259;Halle (Saale);15002000;11,989847;51,472935
358;Halle (Saale), Rudolf-Ernst-Weise-Str.;3941;de:15002:3941;Halle (Saale);15002000;11,986642;51,474123
358;Halle (Saale), Schmelzerstr.;9682;de:15002:9682;Halle (Saale);15002000;12,030964;51,444285
358;Halle (Saale), Thüringer Str.;5229;de:15002:5229;Halle (Saale);15002000;11,992815;51,469012
358;Zwintschöna (Dieskau), Bahnhofstr.;5039;de:15088:5039;Kabelsketal;15088150;12,047275;51,447450
358;Zwintschöna (Dieskau), Dieskauer Str.;20233;de:15088:20233;Kabelsketal;15088150;12,046626;51,446774
358;Zwintschöna (Dieskau), Eschengrund;10280;de:15088:10280;Kabelsketal;15088150;12,054329;51,445998
358;Zwintschöna (Dieskau), Gewerbegebiet;30198;de:15088:30198;Kabelsketal;15088150;12,057624;51,442558
358;Zwintschöna (Dieskau), Lindenallee;30650;de:15088:30650;Kabelsketal;15088150;12,051668;51,447740
380;Benkendorf (Salzmünde), Quillschinaer Str.;9648;de:15088:9648;Salzatal;15088319;11,822341;51,515517
380;Halle (Saale), Alfred-Oelßner-Str.;5142;de:15002:5142;Halle (Saale);15002000;11,882018;51,508094
380;Halle (Saale), Am Heidesee;5739;de:15002:5739;Halle (Saale);15002000;11,903970;51,489670
380;Halle (Saale), Am Stadion;5265;de:15002:5265;Halle (Saale);15002000;11,911513;51,481256
380;Halle (Saale), An der Feuerwache;5227;de:15002:5227;Halle (Saale);15002000;11,934780;51,480783
380;Halle (Saale), Franckeplatz;5125;de:15002:5125;Halle (Saale);15002000;11,969596;51,478548
380;Halle (Saale), Hallesche Str.;5011;de:15002:5011;Halle (Saale);15002000;11,908558;51,485510
380;Halle (Saale), Hauptbahnhof/ZOB;5438;de:15002:5438;Halle (Saale);15002000;11,984570;51,477440
380;Halle (Saale), Heidebahnhof;5037;de:15002:5037;Halle (Saale);15002000;11,887010;51,502964
380;Halle (Saale), Lieskauer Str.;3949;de:15002:3949;Halle (Saale);15002000;11,875359;51,506909
380;Halle (Saale), Otto-Kanning-Str.;30517;de:15002:30517;Halle (Saale);15002000;11,884582;51,504894
380;Halle (Saale), S-Bahnhof Neustadt (Tram/Bus);5122;de:15002:5122;Halle (Saale);15002000;11,921323;51,479054
380;Halle (Saale), S-Bahnhof Nietleben (Bus);5196;de:15002:5196;Halle (Saale);15002000;11,906856;51,487953
380;Halle (Saale), Schwimmhalle;5184;de:15002:5184;Halle (Saale);15002000;11,915398;51,478957
380;Höhnstedt, Schule;15576;de:15088:15576;Salzatal;15088319;11,739424;51,502965
380;Köllme, Abzweig;9579;de:15088:9579;Salzatal;15088319;11,814562;51,504573
380;Köllme, Am Winkel;15575;de:15088:15575;Salzatal;15088319;11,812507;51,498806
380;Köllme, Kita;22822;de:15088:22822;Salzatal;15088319;11,813104;51,502199
380;Lieskau, Mitte;5157;de:15088:5157;Salzatal;15088319;11,862063;51,505086
380;Lieskau, Salzmünder Str.;837;de:15088:837;Salzatal;15088319;11,861847;51,508085
380;Müllerdorf (Zappendorf), Kirchberg;10157;de:15088:10157;Salzatal;15088319;11,791114;51,510780
380;Müllerdorf (Zappendorf), Seniorenheim;10158;de:15088:10158;Salzatal;15088319;11,796389;51,509872
