Standort;Lage;Lat;Lon;;;;;
Magdeburg Hbf;Zugang Kölnerplatz;52.1306891;11.6268162;;;;;
Magdeburg Herrenkrug;Zugang zu den Bahnsteigen;52.145269;11.67701;;;;;
Magdeburg-Neustadt;Bahnhofshalle;52.1483095;11.6413393;;;;;
Magdeburg-Salbke;Hausbahnsteig;52.08071632;11.65643077;;;;;
Magdeburg SKET Park;Zugang zu den Bahnsteigen;52.097545;11.638277;;;;;
Magdeburg Sudenburg;Hausbahnsteig;52.120426;11.597136;;;;;
Magdeburg Südost;Bahnsteig 1/2;52.07019;11.669977;;;;;
Mahlwinkel;Hausbahnsteig;52.3937203;11.7888293;;;;;
Marienborn;Bahnsteig;52.19789074;11.12325389;;;;;
Merseburg;Bahnhofshalle;51.35683217;11.99130021;;;;;
Möser;Hausbahnsteig;52.21897115;11.78463098;;;;;
Muldenstein;Zugang zu Bahnsteig;51.66776102;12.35407971;;;;;
Naumburg;Bahnhofshalle;51.1627089;11.79674618;;;;;
Neudietendorf;Bstg. 1, Zugang Bstg 1;50.91417675;10.91072503;;;;;
Niederndodeleben;Bahnsteig;52.12996912;11.50266325;;;;;
Niemberg;Zugang zum Bahnsteig Richtung Halle;51.55204431;12.09986698;;;;;
Nienburg (Saale) ;Hausbahnsteig;51.83794408;11.76151235;;;;;
Nordhausen;Hausbahnsteig, Empfangsgebäude;51.49308795;10.78853633;;;;;
Oebisfelde;Bahnsteig 1/2;52.43926404;10.98385597;;;;;
Oebisfelde;Bahnsteig 3/4;52.43926404;10.98385597;;;;;
Orlamünde;Zugang Bstg. 1;50.77569597;11.54478952;;;;;
Oschersleben;Bahnsteig;51.9977784;11.1904444;;;;;
Osterburg;Hausbahnsteig;52.78770588;11.76049814;;;;;
Quedlinburg;Hausbahnhsteig;51.7849831;11.1519774;;;;;
Radis;Bahnsteig;51.754704;12.504183;;;;;
Raguhn;Bahnsteig;51.7108384;12.26999715;;;;;
Röblingen;Gleis 2;51.46261297;11.66855;;;;;
Roitzsch (Kreis Bitterfeld);Bahnsteig;51.57117587;12.26455662;;;;;
Roßlau (Elbe);Bahnsteig;51.88461732;12.23727923;;;;;
Sachsendorf (Calbe);Bahnsteig Richtung Magdeburg;51.870054;11.865517;;;;;
Sangerhausen;Bahnhofshalle;51.47988369;11.29455484;;;;;
Salzwedel;Tunnelzugang;52.85796836;11.16166295;;;;;
Schönebeck Süd;Hausbahnsteig;52.006754;11.737307;;;;;
Schönebeck (Elbe);Zugang zu den Bahnsteigen;52.01877071;11.73318453;;;;;
Schönebeck-Felgeleben;Zugang zu den Bahnsteigen;52.00073135;11.75714973;;;;;
Schönebeck-Frohse;Hausbahnsteig;52.033915;11.707378;;;;;
Schönebeck-Salzelmen;Zugang zu den Bahnsteigen;51.99835424;11.7236362;;;;;
Seehausen (Altm. );Zugang zu den Bahnsteigen;52.88564284;11.74357507;;;;;
Stendal;Vorplatz Bahnhof;52.59496371;11.85466245;;;;;
Stendal;Bahnsteig 4;52.59496371;11.85466245;;;;;
Stendal-Stadtsee;Hausbahnsteig;52.60672891;11.83678418;;;;;
Stumdsdorf;Zugang zum Bahnsteig Richtung Halle;51.61621998;12.06685016;;;;;
Tangerhütte;Zugang zu den Bahnsteigen;52.43378087;11.81004189;;;;;
Teutschenthal;Gleis 1;51.464467;11.78323254;;;;;
Teutschenthal-Ost;Zugang Gleis 1;51.465749;11.819821;;;;;
Wansleben ;Gleis 1;51.46228376;11.74655132;;;;;
Wefensleben;Hausbahnsteig;52.176357;11.156949;;;;;
Weißenfels;Bahnhofshalle Zugang Tunnel;51.20457947;11.97093621;;;;;
Wernigerode;Hausbahnhsteig;51.84006621;10.78910563;;;;;
Wolfen (Kreis Bitterfeld);Bahnsteig;51.66114747;12.27955218;;;;;
Wolfsburg;in Halle vor Treppe li.;52.42904;10.7877401;;;;;
Wolfsburg;mitten in Halle vor Treppe li.;52.42904;10.7877401;;;;;
Weißandt-Gölzau;Zugang zum Bahnsteig Richtung MD;51.671312;12.027962;;;;;
Wellen (b. Magdeburg);Hausbahnsteig;52.135821;11.433371;;;;;
Wolmirstedt;Hausbahnsteig;52.250466;11.635562;;;;;
Wulfen (Anhalt);Am Bahnsteig;51.818659;11.922031;;;;;
Zahna;Bahnsteig;51.91996912;12.781211;;;;;
Zerbst;Bahnsteig;51.9539435;12.0893522;;;;;
Zielitz;Hausbahnsteig;52.2970411;11.68039329;;;;;
Zielitz Ort;Zugang zu den Bahnsteigen;52.287711;11.67589;;;;;
Zöberitz;Zugang zum Bahnsteig Richtung Halle;51.50459633;12.0334699;;;;;
