Ort;Verkaufsstelle;Vertriebsstellenart;Lage;Lat;Lon;Öffnungszeiten;;;;;;;;;;;;;;;;;;
Sangerhausen;Agentur Abellio Rosenthal-Gruppe;Freie Agentur;"Am Bahnhof
06526 Sangerhausen";51.479891;11.294515;" Mo–Fr 5.30–17.45
Sa 7.45–13.45
So  11.45–17.00";;;;;;;;;;;;;;;;;;
Schönebeck (Elbe);"Reiseagentur ""Fahrt Frei""";Freie Agentur;"Bahnhofstraße 39
39218 Schönebeck/Elbe";52.0201465;11.7297757;"Mo 5.00–18.00
Di-Fr 6.00–18.00
Sa  7.00–13.00
So  10.00–16.00";;;;;;;;;;;;;;;;;;
Stendal;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofsstraße 34
39576 Stendal";52.5949171;11.8548816;"Mo 6.00–17.30
Di-Fr 7.30–17.30
Sa 7.30–13.30
So 11.30–19.00";;;;;;;;;;;;;;;;;;
Thale;Thale-Information;HEX eigene Agentur;"Bahnhofstraße 6
06502 Thale";51.7455466;11.0306649;"Mo- Fr 8.00–18.00
Sa + So 9.00–15.00";;;;;;;;;;;;;;;;;;
Weißenfels;Reiseagentur A-Z GbR;Freie Agentur;"Zum Bahnhof 2
06667 Weißenfels";51.2044024;11.9712177;"Mo-Fr 6.00–12.10 u. 12.40–17.45
Sa 8.00–14.00
So 12.00–18.00";;;;;;;;;;;;;;;;;;
Weißenfels;Abellio Ticket-Shop;Freie Agentur;"Tabak- und Zeitschriftenoase Gerald Kraft
Promenade 44
06667 Weißenfels";51.2028126;11.972814;"Mo-Fr 7.00–19.00
Sa 8.00–13.00";;;;;;;;;;;;;;;;;;
Wernigerode;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofplatz 1
38855 Wernigerode";51.8400585;10.789058;"Mo-Fr 7.30–11.45 u. 12.30–17.45
Sa 7.55–11.45 u. 12.15–15.25
So 7.55–11.45 u. 12.30–17.10";;;;;;;;;;;;;;;;;;
Wolmirstedt;DB Reisezentrum;DB Vertrieb GmbH;"Bahnhofstraße 17
39326 Wolmirstedt";52.25018;11.63517;Mo-Fr 05:45–9:00 u. 9:30–13:45;;;;;;;;;;;;;;;;;;
Zeitz;Reiseagentur A –Z;Freie Agentur;"Baenschstraße 6
06712 Zeitz";51.05605;12.13049;"Mo-Fr 6.30–12:10 u. 12:40–17:15 
Sa 7:30–13:30
So 12:00–18:00";;;;;;;;;;;;;;;;;;
Zerbst;Reisecenter am Bahnhof;DB Vertrieb GmbH;"F.-J.-W.-Stengel-Platz
39261 Zerbst/Anhalt";51.954306;12.089493;"Mo-Fr 5:30–18:00
Sa 7:00–12:00
So 14:00–19:00";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
