Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Zeitz, Dianasaal;4252;de:15084:4252;12,134414;51,062268;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Dietrich-Bonhoeffer-Str./Wendeschleife;4188;de:15084:4188;12,162093;51,038988;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Donaliesstr.;4035;de:15084:4035;12,132697;51,059239;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Forstplatz;7603;de:15084:7603;12,122860;51,045169;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Forststr.;7602;de:15084:7602;12,120490;51,042580;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Freiligrathstr.;22372;de:15084:22372;12,140496;51,053886;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Friedensstr.;4169;de:15084:4169;12,124797;51,040469;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Geschwister-Scholl-Str.;4195;de:15084:4195;12,129763;51,053194;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Gleinaer Str.;12454;de:15084:12454;12,144902;51,045018;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Haus Zeitzblick;4193;de:15084:4193;12,146943;51,040836;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Herrmannschacht;19965;de:15084:19965;12,113227;51,055506;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Kalktor;4030;de:15084:4030;12,139054;51,047334;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Käthe-Kollwitz-Siedlung;4038;de:15084:4038;12,122381;51,068560;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Käthe-Niederkirchner-Str.;4194;de:15084:4194;12,143467;51,042782;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Kaufland;4160;de:15084:4160;12,127399;51,036740;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Kaufland II;22881;de:15084:22881;12,161306;51,037499;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Kleefeldplatz;4065;de:15084:4065;12,144920;51,044236;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Klinikum;7601;de:15084:7601;12,157770;51,031840;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Michaelisfriedhof;4218;de:15084:4218;12,150134;51,045390;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Michaeliskirche;4029;de:15084:4029;12,134240;51,050188;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Moskauer Str.;4146;de:15084:4146;12,128853;51,045405;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Naumburger Str.;4187;de:15084:4187;12,128268;51,059582;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Platanenweg;4102;de:15084:4102;12,150542;51,040487;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Platanenweg/Abzweig Pappelweg;4276;de:15084:4276;12,153236;51,036054;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Prager Str.;15843;de:15084:15843;12,129980;51,043090;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Röntgenstr.;6661;de:15084:6661;12,139023;51,044772;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Schädestr. II;15844;de:15084:15844;12,129721;51,057007;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Schlossstr.;4167;de:15084:4167;12,126807;51,049335;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Schützenplatz;4045;de:15084:4045;12,144397;51,051084;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Schützenstr.;4275;de:15084:4275;12,140516;51,050387;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Zeitz, Schwimmhalle;17151;de:15084:17151;12,140434;51,052548;15084590;Zeitz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
