Haltestelle Name;Haltestelle Nummer;Globale ID;X-Koordinate;Y-Koordinate;AGS Gemeinde;Gemeinde;AGS Landkreis;Landkreis;AGS Bundesland;Bundesland;Referenzhaltestelle Lief.
Abbendorf (Diesdorf), Abzweig;536;de:15081:536;10,916355;52,748249;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Kirche;15765;de:15081:15765;10,904784;52,750159;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Kita;1269;de:15081:1269;10,907973;52,750597;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbendorf (Diesdorf), Ort;563;de:15081:563;10,902429;52,749938;15081105;Diesdorf;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Gönnenicht;1276;de:15085:1276;10,633409;51,922700;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Mitteldorf;1368;de:15085:1368;10,629762;51,926768;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abbenrode, Wendeplatz;1369;de:15085:1369;10,626388;51,929556;15085227;Nordharz;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Ablaß;17191;de:14730:17191;12,948390;51,227992;14730200;Mügeln;14730;Nordsachsen;14;Sachsen;NASA Master-Lieferant
Äbtischrode (virt.);9320001;de:15087:9320001;11,568910;51,475180;15087386;Seegebiet Mansfelder Land;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abtlöbnitz;4326;de:15084:4326;11,718350;51,079887;15084341;Molauer Land;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abtsdorf (Lu. Wittenberg);9442;de:15091:9442;12,725297;51,888028;15091375;Wittenberg;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Altpoderschau;15885;de:16077:15885;12,296586;51,019333;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Beerwalde;12071;de:16077:12071;12,241609;50,876382;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Bielstein (b. Wernigerode);17445;de:15085:17445;10,688325;51,812516;15085370;Wernigerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Dobitschen/Meucha;12061;de:16077:12061;12,284239;50,950353;16077003;Dobitschen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Gimmel (Altkirchen);12064;de:16077:12064;12,328847;50,925601;16077002;Altkirchen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Gröba (Wintersdorf);12296;de:16077:12296;12,370500;51,047328;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Kleinliebenau (Dölzig);11892;de:14730:11892;12,217186;51,370173;14730270;Schkeuditz;14730;Nordsachsen;14;Sachsen;NASA Master-Lieferant
Abzweig Kleinröda (Starkenberg);10839;de:16077:10839;12,302517;51,006909;16077044;Starkenberg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Löbichau;11711;de:16077:11711;12,261657;50,881595;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Lonzig;17133;de:15084:17133;12,089320;50,983363;15084207;Gutenborn;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Merlach (Ponitz);12570;de:16077:12570;12,430736;50,868640;16077039;Ponitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Merlach (Ponitz) (Ersatzhalt);30681;de:16077:30681;12,430928;50,868931;16077039;Ponitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig n. Canitz (Thallwitz);16839;de:14729:16839;12,690306;51,410252;14729380;Thallwitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Erlbach/Bockwitz (Colditz);15953;de:14729:15953;12,885156;51,120270;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Kaltenborn (Colditz);15960;de:14729:15960;12,851327;51,120887;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Wasewitz (Thallwitz);12619;de:14729:12619;12,686106;51,419710;14729380;Thallwitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig n. Zschetzsch (Colditz);16849;de:14729:16849;12,776778;51,142909;14729080;Colditz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Abzweig Nöbdenitz;12443;de:16077:12443;12,274412;50,884097;16077026;Löbichau;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Pähnitz (Windischleuba);12180;de:16077:12180;12,484109;51,023777;16077052;Windischleuba;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Pettstädt;22374;de:15084:22374;11,884217;51,239430;15084550;Weißenfels;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Platschütz (Altkirchen);11942;de:16077:11942;12,348331;50,922130;16077002;Altkirchen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Rodameuschel;11848;de:16077:11848;12,310183;50,955860;16077009;Göllnitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Rolika (Dobitschen);12062;de:16077:12062;12,293095;50,952190;16077003;Dobitschen;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Ruhlsdorf (Jessen);17407;de:15091:17407;12,932257;51,805097;15091145;Jessen (Elster);15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Schnauderhainichen;10662;de:16077:10662;12,307260;51,053893;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Abzweig Selbitz (Kemberg);1056;de:15091:1056;12,534697;51,822081;15091160;Kemberg;15091;Wittenberg;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Spielberg (Naumburg);17134;de:15084:17134;11,665698;51,140449;15084355;Naumburg (Saale);15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Abzweig Spora;12852;de:16077:12852;12,294669;51,026059;16077032;Meuselwitz;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Ackendorf (Börde);1093;de:15083:1093;11,444520;52,223677;15083298;Hohe Börde;15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Ackendorf (Börde), Sportplatz;1081;de:15083:1081;11,437316;52,222577;15083298;Hohe Börde;15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Ackendorf (Gardelegen), Abzweig;23195;de:15081:23195;11,369192;52,543745;15081135;Gardelegen;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Ackendorf (Gardelegen), B71;171;de:15081:171;11,369369;52,542263;15081135;Gardelegen;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Adelwitz (Arzberg);19890;de:14730:19890;13,127280;51,510545;14730010;Arzberg;14730;Nordsachsen;14;Sachsen;NASA Master-Lieferant
Adendorf (Gerbstedt);2787;de:15087:2787;11,701110;51,616628;15087165;Gerbstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Adendorf (Gerbstedt), Siedlung (virt.);9320002;de:15087:9320002;11,705570;51,616920;15087165;Gerbstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Adersleben (Wegeleben), Dorfstr.;5385;de:15085:5385;11,185985;51,892209;15085365;Wegeleben;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Adersleben (Wegeleben), Gehöft Kramer;5387;de:15085:5387;11,190173;51,903340;15085365;Wegeleben;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Aderstedt (Bernburg);1826;de:15089:1826;11,694941;51,780346;15089030;Bernburg (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Aderstedt (Bernburg), Reiterhof;3819;de:15089:3819;11,700380;51,786712;15089030;Bernburg (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Aderstedt (Huy), Str. der Freundschaft;5405;de:15085:5405;10,997058;52,030553;15085185;Huy;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Agnesdorf (b. Berga);2788;de:15087:2788;11,092815;51,495771;15087412;Südharz;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Agnesdorf (b. Berga), Abzweig;2789;de:15087:2789;11,090331;51,493415;15087412;Südharz;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Ahlsdorf;2790;de:15087:2790;11,470495;51,545540;15087010;Ahlsdorf;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Ahlum (Rohrberg), B248;309;de:15081:309;11,013987;52,692967;15081440;Rohrberg;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Ahlum (Rohrberg), Gehöft;19922;de:15081:19922;11,009805;52,689128;15081440;Rohrberg;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Ahlum (Rohrberg), Kita;1282;de:15081:1282;11,007356;52,695695;15081440;Rohrberg;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Ahlum (Rohrberg), Ort;310;de:15081:310;11,011026;52,692729;15081440;Rohrberg;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Akazienteich;6586;de:15082:6586;11,994342;51,831892;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Am Finkenherd;4903;de:15082:4903;12,025438;51,856521;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Am Finkenherd/Burglehn;16811;de:15082:16811;12,025629;51,854170;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Am Notstall;39331;de:15082:39331;12,035311;51,847465;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Amselweg;15707;de:15082:15707;12,074519;51,851714;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Bahnhof (Bus);4904;de:15082:4904;12,036463;51,853153;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Bärstr.;15708;de:15082:15708;12,044706;51,854387;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Bismarkplatz;20275;de:15082:20275;12,039170;51,855609;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Burgstr.;4905;de:15082:4905;12,040258;51,855599;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Burgstr./Poststr.;30005;de:15082:30005;12,042051;51,855490;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Erwitter Str.;15709;de:15082:15709;12,068453;51,850470;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Gewerbering;4900;de:15082:4900;12,088692;51,850713;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Grundschule;39332;de:15082:39332;12,042085;51,855561;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Heidehof;4906;de:15082:4906;12,021189;51,832338;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Heidestr.;4892;de:15082:4892;12,037136;51,849350;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Heiratsberg;39333;de:15082:39333;12,048454;51,849264;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Hopfenstr.;39334;de:15082:39334;12,052670;51,849353;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Magnesit;4907;de:15082:4907;12,083391;51,850888;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Markt;16812;de:15082:16812;12,044659;51,854550;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Mennewitzer Weg;4908;de:15082:4908;12,027895;51,842738;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Neu-Tornau;4909;de:15082:4909;12,065249;51,852666;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Obselauer Weg;4910;de:15082:4910;12,021006;51,857336;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Parkstr.;4911;de:15082:4911;12,053231;51,854211;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Puschkinstr.;39335;de:15082:39335;12,076701;51,851558;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Schützenplatz;39336;de:15082:39336;12,042622;51,849757;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Sekundarschule;30421;de:15082:30421;12,040347;51,855633;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Seniorenzentrum;4912;de:15082:4912;12,072720;51,851950;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Str. des Friedens (Ersatzhalt);39341;de:15082:39341;12,068832;51,851673;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Susigker Str.;39337;de:15082:39337;12,056554;51,852263;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Töpferbergstr.;39338;de:15082:39338;12,037971;51,851613;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Volksbad;4913;de:15082:4913;12,043746;51,851787;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Waldstr. Nr. 19;16813;de:15082:16813;12,072833;51,847640;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Waldstraße (Ersatzhalt);39342;de:15082:39342;12,067939;51,848368;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken, Wasserwerk;4891;de:15082:4891;12,049230;51,839067;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Aken(Elbe);8011006;de:15082:8011006;12,035365;51,853226;15082005;Aken (Elbe);15082;Anhalt-Bitterfeld;15;Sachsen-Anhalt;NASA Master-Lieferant
Albersdorf (Markranstädt);11049;de:14729:11049;12,264992;51,285983;14729270;Markranstädt;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albersdorf (Markranstädt), Seebenischer Str;31110;de:14729:31110;12,263795;51,285715;14729270;Markranstädt;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albersdorf (Markranstädt), Teich;9000038;de:14729:9000038;12,262623;51,285931;14729270;Markranstädt;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albersroda;9582;de:15088:9582;11,718142;51,284343;15088355;Steigra;15088;Saalekreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alberstedt, Feuerwehr;9583;de:15088:9583;11,622990;51,446607;15088100;Farnstädt;15088;Saalekreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alberstedt, Siedlung;9585;de:15088:9585;11,627696;51,448884;15088100;Farnstädt;15088;Saalekreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Albrechtshain (Naunhof), Beuchaer Str.;30092;de:14729:30092;12,567985;51,306157;14729300;Naunhof;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albrechtshain (Naunhof), Borsdorfer Str.;16786;de:14729:16786;12,564641;51,305593;14729300;Naunhof;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albrechtshain (Naunhof), Dorfstr.;11006;de:14729:11006;12,567137;51,301893;14729300;Naunhof;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Albrechtshaus;1354;de:15085:1354;10,929260;51,642269;15085228;Oberharz am Brocken;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad;820;de:15085:820;11,115112;51,648038;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad;8017001;;11,115311;51,648132;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad, Abzweig Harzgerode;5536;de:15085:5536;11,110269;51,643954;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad, Bahnhof;90464;;11,115112;51,648038;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad, Bahnhof (Bus);5545;de:15085:5545;11,115577;51,648398;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alexisbad, Klostermühle;5544;de:15085:5544;11,118599;51,655256;15085145;Harzgerode;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Algenstedt (Gardelegen), Ort;312;de:15081:312;11,444389;52,597189;15081135;Gardelegen;15081;Altmarkkreis Salzwedel;15;Sachsen-Anhalt;NASA Master-Lieferant
Alikendorf (Oschersleben), Vor dem Tore;3147;de:15083:3147;11,283879;51,986964;15083415;Oschersleben (Bode);15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Alleringersleben;1194;de:15083:1194;11,141834;52,213670;15083323;Ingersleben;15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Alleringersleben, Zuckerfabrik;1200;de:15083:1200;11,133199;52,212416;15083323;Ingersleben;15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Allerstedt (Kaiserpfalz);4482;de:15084:4482;11,441519;51,254068;15084246;Kaiserpfalz;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Allrode, Friedrichsbrunner Str.;6888;de:15085:6888;10,970942;51,679223;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allrode, Lange Str.;1371;de:15085:1371;10,969402;51,677388;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allrode, Oberdorf;1370;de:15085:1370;10,971413;51,673768;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allrode, Rosenweg;95403;de:15085:95403;10,974553;51,674488;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allstedt, Kreuzung;2791;de:15087:2791;11,393269;51,401173;15087015;Allstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allstedt, Markt;2792;de:15087:2792;11,385308;51,403700;15087015;Allstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allstedt, Schloss;2793;de:15087:2793;11,405102;51,408104;15087015;Allstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allstedt, Schule;2794;de:15087:2794;11,381641;51,406148;15087015;Allstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Allstedt, Waldlager;2795;de:15087:2795;11,457064;51,390628;15087015;Allstedt;15087;Mansfeld-Südharz;15;Sachsen-Anhalt;NASA Master-Lieferant
Almrich (Naumburg), Linde;4410;de:15084:4410;11,770353;51,150368;15084355;Naumburg (Saale);15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Almsdorf (Mücheln);9588;de:15088:9588;11,861645;51,258605;15088235;Mücheln (Geiseltal);15088;Saalekreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Almsdorf (Mücheln), Leihaer Str.;22802;de:15088:22802;11,860857;51,258597;15088235;Mücheln (Geiseltal);15088;Saalekreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Almsfeld (Altenbrak);1349;de:15085:1349;10,935900;51,749192;15085055;Blankenburg (Harz);15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Alsleben (Saale), Bernburger Str.;1829;de:15089:1829;11,665488;51,716380;15089005;Alsleben (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alsleben (Saale), Gnölbziger Str.;1828;de:15089:1828;11,690048;51,694198;15089005;Alsleben (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alsleben (Saale), Saaleplatz;1827;de:15089:1827;11,679990;51,701710;15089005;Alsleben (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alsleben (Saale), Schule;1700;de:15089:1700;11,673388;51,701879;15089005;Alsleben (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alt Mödewitz (Könnern);15741;de:15089:15741;11,731166;51,692116;15089195;Könnern;15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Alt Tröglitz;4245;de:15084:4245;12,189162;51,071764;15084130;Elsteraue;15084;Burgenlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Altbellin (Wulkow);3396;de:15086:3396;12,167539;52,474723;15086080;Jerichow;15086;Jerichower Land;15;Sachsen-Anhalt;NASA Master-Lieferant
Altbrandsleben (Oschersleben);3124;de:15083:3124;11,251849;52,073930;15083415;Oschersleben (Bode);15083;Börde;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbach;8011018;de:14729:8011018;12,682324;51,355868;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), Abzweig Deuben;30424;de:14729:30424;12,682032;51,357080;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), Am Wildgehege;30625;de:14729:30625;12,695719;51,351729;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), Hauptstr.;16787;de:14729:16787;12,678285;51,351910;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), Marcel-Proust-Weg;31009;de:14729:31009;12,676608;51,349436;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), S-Bahnhof;90104;;12,682322;51,355866;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), S-Bahnhof (Bus);31008;de:14729:31008;12,680900;51,355856;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbach (Bennewitz), Teeplantage;16788;de:14729:16788;12,686141;51,353704;14729030;Bennewitz;14729;Leipzig;14;Sachsen;NASA Master-Lieferant
Altenbrak, Brauner Hirsch;1333;de:15085:1333;10,943356;51,726210;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbrak, Hasenteich;1330;de:15085:1330;10,944868;51,737484;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbrak, Parkplatz;7116;;10,941947;51,725716;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbrak, Parkplatz;7117;de:15085:7117;10,941947;51,725716;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbrak, Schöneburg;1331;de:15085:1331;10,930077;51,728101;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenbrak, Weißes Roß;1332;de:15085:1332;10,936863;51,727010;15085330;Thale;15085;Harz;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenburg;8010003;de:16077:8010003;12,443905;50,997198;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Nienburg);1830;de:15089:1830;11,754684;51,824549;15089235;Nienburg (Saale);15089;Salzlandkreis;15;Sachsen-Anhalt;NASA Master-Lieferant
Altenburg Nord;8011020;de:16077:8011020;12,432363;51,012748;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.);10809;de:16077:10809;12,447850;50,988057;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Abzweig Elie-Wiesel-Str.;13428;de:16077:13428;12,429158;51,004668;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Abzweig Klinikum;13430;de:16077:13430;12,434700;50,975532;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Abzweig Mockzig;12220;de:16077:12220;12,468929;50,934881;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Abzweig n. Kosma;22353;de:16077:22353;12,418131;50,973537;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Albert-Levy-Str.;12584;de:16077:12584;12,430508;51,002291;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Am Festplatz;12538;de:16077:12538;12,435177;50,976777;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Am Steinweg;12464;de:16077:12464;12,427237;50,986740;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Anger;12468;de:16077:12468;12,426909;50,983261;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Bahnhof;90018;;12,444013;50,996641;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Bahnhof (Bus);12511;de:16077:12511;12,442817;50,996847;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Bartholomäikirche;10822;de:16077:10822;12,434911;50,986479;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
Altenburg (Thür.), Brockhausstr.;12958;de:16077:12958;12,438802;50,994007;16077001;Altenburg;16077;Altenburger Land;16;Thüringen;NASA Master-Lieferant
